ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2014,"2014","04000US48","Texas",12739,2256.4130827488125,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2014,"2014","04000US48","Texas",39041,3650.1402712772556,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2014,"2014","04000US48","Texas",241,172.5688268488837,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2014,"2014","04000US48","Texas",36022,4012.051968756138,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2014,"2014","04000US48","Texas",63410,4507.49464780603,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2014,"2014","04000US48","Texas",90971,4687.6486643092185,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2014,"2014","04000US48","Texas",12145,2013.4711321496518,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2014,"2014","04000US48","Texas",72027,5020.264236073635,"San Antonio, TX","16000US4865000","san-antonio-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2014,"2014","04000US48","Texas",30707,2915.72032266471,"San Antonio, TX","16000US4865000","san-antonio-tx"
12,"Public Administration (Group)",19,"Public Administration",2014,"2014","04000US48","Texas",26206,2420.163011038719,"San Antonio, TX","16000US4865000","san-antonio-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2013,"2013","04000US48","Texas",1466,697.5514317955343,"San Antonio, TX","16000US4865000","san-antonio-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2013,"2013","04000US48","Texas",6627,2311.913709462358,"San Antonio, TX","16000US4865000","san-antonio-tx"
1,"Construction (Group)",2,"Construction",2013,"2013","04000US48","Texas",47869,3662.6827599452295,"San Antonio, TX","16000US4865000","san-antonio-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2013,"2013","04000US48","Texas",39668,3511.81434589017,"San Antonio, TX","16000US4865000","san-antonio-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2013,"2013","04000US48","Texas",14850,2312.3308586791813,"San Antonio, TX","16000US4865000","san-antonio-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2013,"2013","04000US48","Texas",80495,5049.016735959587,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2013,"2013","04000US48","Texas",20564,2607.8069330377966,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2013,"2013","04000US48","Texas",3714,987.2958016724269,"San Antonio, TX","16000US4865000","san-antonio-tx"
6,"Information (Group)",8,"Information",2013,"2013","04000US48","Texas",12105,1998.381845393918,"San Antonio, TX","16000US4865000","san-antonio-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2013,"2013","04000US48","Texas",45126,3584.0583142577357,"San Antonio, TX","16000US4865000","san-antonio-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2013,"2013","04000US48","Texas",11700,2034.115532608706,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2013,"2013","04000US48","Texas",36943,3228.2758556232457,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2013,"2013","04000US48","Texas",708,383.95963329495976,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2013,"2013","04000US48","Texas",35891,3767.473556642435,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2013,"2013","04000US48","Texas",57910,3830.0960823457162,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2013,"2013","04000US48","Texas",84878,5083.048298019605,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2013,"2013","04000US48","Texas",9807,1644.8358580721667,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2013,"2013","04000US48","Texas",69467,5791.9344782205535,"San Antonio, TX","16000US4865000","san-antonio-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2013,"2013","04000US48","Texas",33575,3187.5489015856683,"San Antonio, TX","16000US4865000","san-antonio-tx"
12,"Public Administration (Group)",19,"Public Administration",2013,"2013","04000US48","Texas",26470,2708.4934927003237,"San Antonio, TX","16000US4865000","san-antonio-tx"
